date_validite,risque_actuel,risque_j2,depart_spontane,declenchement_skieur,resume,id,massif,departement,zone
2026-01-29T16:00:00,3,3,Petites coulées/purges.,Plaques à vent formées par le vent de SW.,"Départs spontanés : Petites coulées/purges.
Déclenchements skieurs : Plaques à vent formées par le vent de SW.",1,Chablais,Haute-Savoie,Alpes du Nord
2026-01-29T16:00:00,3,3,Petites coulées/purges.,Plaques à vent formées par le vent de SW.,"Départs spontanés : Petites coulées/purges.
Déclenchements skieurs : Plaques à vent formées par le vent de SW.",2,Aravis,Haute-Savoie,Alpes du Nord
2026-01-29T16:00:00,3,3,Petites coulées/purges.,Plaques à vent formées par le vent Foehn.,"Départs spontanés : Petites coulées/purges.
Déclenchements skieurs : Plaques à vent formées par le vent Foehn.",3,Mont-Blanc,Haute-Savoie,Alpes du Nord
2026-01-29T16:00:00,2,2,Petites coulées/purges.,Plaques à vent formées par le vent de SW.,"Départs spontanés : Petites coulées/purges.
Déclenchements skieurs : Plaques à vent formées par le vent de SW.",4,Bauges,Savoie,Alpes du Nord
2026-01-29T16:00:00,3,3,"petits, sous le vent le matin puis avec les éclaircies l'après-midi.",plaques réactives dans la neige récente. ,"Départs spontanés : petits, sous le vent le matin puis avec les éclaircies l'après-midi.
Déclenchements skieurs : plaques réactives dans la neige récente. ",5,Beaufortain,Savoie,Alpes du Nord
2026-01-29T16:00:00,3,3,"petits, sous le vent le matin puis avec les éclaircies l'après-midi.",plaques réactives dans la neige récente. ,"Départs spontanés : petits, sous le vent le matin puis avec les éclaircies l'après-midi.
Déclenchements skieurs : plaques réactives dans la neige récente. ",6,Haute-Tarentaise,Savoie,Alpes du Nord
2026-01-29T16:00:00,3,2,"Rares avalanches poudreuse en pente raide, l'après-midi au soleil possibles coulées de surface...","Dès modeste altitude, possible petites plaques friables bien instables à l'abord des cols et crêtes. En faces Nord plus épaisse cassure non exclue...","Départs spontanés : Rares avalanches poudreuse en pente raide, l'après-midi au soleil possibles coulées de surface...
Déclenchements skieurs : Dès modeste altitude, possible petites plaques friables bien instables à l'abord des cols et crêtes. En faces Nord plus épaisse cassure non exclue...",7,Chartreuse,Isère,Alpes du Nord
2026-01-29T16:00:00,3,3,"Possibles petites avalanches poudreuses lors des chutes de neige (vendredi matin), parfois une cassure spontanée dégénérant en avalanche conséquente ?","Surtout à l'abord des crêtes, instabilités temporaires / Plaques friables en poudreuse dense, assez difficiles à déceler. En versant froid d'altitude, possible épaisse cassure (en cascade) en contrebas ?","Départs spontanés : Possibles petites avalanches poudreuses lors des chutes de neige (vendredi matin), parfois une cassure spontanée dégénérant en avalanche conséquente ?
Déclenchements skieurs : Surtout à l'abord des crêtes, instabilités temporaires / Plaques friables en poudreuse dense, assez difficiles à déceler. En versant froid d'altitude, possible épaisse cassure (en cascade) en contrebas ?",8,Belledonne,Isère,Alpes du Nord
2026-01-29T16:00:00,3,3,"petits, sous le vent le matin puis avec les éclaircies l'après-midi.",plaques réactives dans la neige récente. ,"Départs spontanés : petits, sous le vent le matin puis avec les éclaircies l'après-midi.
Déclenchements skieurs : plaques réactives dans la neige récente. ",9,Maurienne,Savoie,Alpes du Nord
2026-01-29T16:00:00,3,3,"petits, sous le vent le matin puis avec les éclaircies l'après-midi.",plaques réactives dans la neige récente. ,"Départs spontanés : petits, sous le vent le matin puis avec les éclaircies l'après-midi.
Déclenchements skieurs : plaques réactives dans la neige récente. ",10,Vanoise,Savoie,Alpes du Nord
2026-01-29T16:00:00,3,3,"petits, sous le vent le matin puis avec les éclaircies l'après-midi.",plaques réactives dans la neige récente. ,"Départs spontanés : petits, sous le vent le matin puis avec les éclaircies l'après-midi.
Déclenchements skieurs : plaques réactives dans la neige récente. ",11,Haute-Maurienne,Savoie,Alpes du Nord
2026-01-29T16:00:00,3,3,"Possibles petites avalanches poudreuses lors des chutes de neige (vendredi matin), parfois une cassure spontanée dégénérant en avalanche conséquente ?","Surtout à l'abord des crêtes, instabilités temporaires / Plaques friables en poudreuse dense, assez difficiles à déceler. En versant froid, possible épaisse/large cassure (en cascade) en contrebas (surtout vers Emparis/Galiber)","Départs spontanés : Possibles petites avalanches poudreuses lors des chutes de neige (vendredi matin), parfois une cassure spontanée dégénérant en avalanche conséquente ?
Déclenchements skieurs : Surtout à l'abord des crêtes, instabilités temporaires / Plaques friables en poudreuse dense, assez difficiles à déceler. En versant froid, possible épaisse/large cassure (en cascade) en contrebas (surtout vers Emparis/Galiber)",12,Grandes-Rousses,Isère,Alpes du Nord
2026-01-29T16:00:00,4,3,quelques ruptures spontanées dans les zones d'accumulation sous le vent de nord-ouest,"plaques à vent encore très faciles à déclencher, pouvant être très volumieuses en altitude","Départs spontanés : quelques ruptures spontanées dans les zones d'accumulation sous le vent de nord-ouest
Déclenchements skieurs : plaques à vent encore très faciles à déclencher, pouvant être très volumieuses en altitude",13,Thabor,Hautes-Alpes/Savoie,Alpes du Sud
2026-01-29T16:00:00,3,2,"Rares avalanches poudreuse en pente raide, l'après-midi au soleil possibles coulées de surface...","Dès modeste altitude, possible petites plaques friables bien instables à l'abord des cols et crêtes. En faces Nord plus épaisse cassure non exclue...","Départs spontanés : Rares avalanches poudreuse en pente raide, l'après-midi au soleil possibles coulées de surface...
Déclenchements skieurs : Dès modeste altitude, possible petites plaques friables bien instables à l'abord des cols et crêtes. En faces Nord plus épaisse cassure non exclue...",14,Vercors,Isère,Alpes du Nord
2026-01-29T16:00:00,3,3,"Possibles petites avalanches poudreuses lors des chutes de neige (vendredi matin), parfois une cassure spontanée dégénérant en avalanche conséquente ?","Surtout à l'abord des crêtes, instabilités temporaires / Plaques friables en poudreuse dense, assez difficiles à déceler. En versant froid, possible épaisse/large cassure (en cascade), surtout vers Est Oisans, des 2 Alpes à La Meije/Ecrins...","Départs spontanés : Possibles petites avalanches poudreuses lors des chutes de neige (vendredi matin), parfois une cassure spontanée dégénérant en avalanche conséquente ?
Déclenchements skieurs : Surtout à l'abord des crêtes, instabilités temporaires / Plaques friables en poudreuse dense, assez difficiles à déceler. En versant froid, possible épaisse/large cassure (en cascade), surtout vers Est Oisans, des 2 Alpes à La Meije/Ecrins...",15,Oisans,Isère,Alpes du Nord
2026-01-29T16:00:00,4,3,quelques ruptures spontanées dans les zones d'accumulation sous le vent de nord-ouest,"plaques à vent encore très faciles à déclencher, pouvant être très volumieuses en altitude","Départs spontanés : quelques ruptures spontanées dans les zones d'accumulation sous le vent de nord-ouest
Déclenchements skieurs : plaques à vent encore très faciles à déclencher, pouvant être très volumieuses en altitude",16,Pelvoux,Hautes-Alpes,Alpes du Sud
2026-01-29T16:00:00,4,3,quelques ruptures spontanées dans les zones d'accumulation sous le vent de nord-ouest,"plaques à vent encore très faciles à déclencher, pouvant être très volumieuses en altitude","Départs spontanés : quelques ruptures spontanées dans les zones d'accumulation sous le vent de nord-ouest
Déclenchements skieurs : plaques à vent encore très faciles à déclencher, pouvant être très volumieuses en altitude",17,Queyras,Hautes-Alpes,Alpes du Sud
2026-01-29T16:00:00,4,3,quelques ruptures spontanées dans les zones d'accumulation sous le vent de nord-ouest,"plaques à vent encore très faciles à déclencher, pouvant être volumieuses en altitude","Départs spontanés : quelques ruptures spontanées dans les zones d'accumulation sous le vent de nord-ouest
Déclenchements skieurs : plaques à vent encore très faciles à déclencher, pouvant être volumieuses en altitude",18,Devoluy,Hautes-Alpes,Alpes du Sud
