name,massif,lat,lon,denivele_positif,exposition,difficulty_ski
Vallée Blanche,Chamonix,45.9367,6.8625,600,S,S1
Col du Tour,Chamonix,45.9817,7.0183,1400,NW,S4
Grand Balcon Nord,Chamonix,45.9325,6.8525,900,N,S2
Aiguille du Midi - Plan de l'Aiguille,Chamonix,45.9233,6.8683,1200,N,S3
Col des Montets - Lac d'Argentière,Chamonix,45.9833,6.9083,800,W,S2
Argentière - L'Index,Chamonix,45.9500,6.9500,1500,N,S4
Col du Passon,Chamonix,45.9833,7.0333,1600,N,S4
Pointe Helbronner - Col d'Arête,Chamonix,45.8333,6.9000,1000,SE,S3
Lac Blanc - Aiguille du Goûter,Chamonix,45.9417,6.8583,700,NE,S2
Col de Beugeant,Chamonix,45.9583,6.7833,1300,N,S3
Brèche de Bérard,Chamonix,45.9333,6.8000,1600,W,S4
Mont Buet,Chamonix,46.0167,6.7500,1800,N,S4
Col du Belvédère,Chamonix,45.9667,6.8333,1000,S,S2
Pointe de la Pierre à l'Aigle,Chamonix,45.9083,6.9083,1400,E,S3
Combe de la Pendant,Chamonix,45.9000,6.8667,1200,SE,S3
Aiguille de Blaitière,Chamonix,45.8833,6.8500,1700,S,S4
Col du Génépy,Chamonix,45.9167,6.9167,900,N,S2
Traverse des Crochues,Chamonix,45.9417,6.7917,1500,NE,S4
Pointe Whittaker,Chamonix,45.8500,6.8833,1100,SW,S3
Col des Montets,Chamonix,45.9833,6.9083,800,W,S2
Dôme de Miage,Chamonix,45.8000,6.7833,2000,S,S5
Aiguille de Tré-la-Tête,Chamonix,45.8167,6.8000,1600,SE,S4
Col de la Forclaz,Chamonix,46.0000,6.8500,1000,N,S2
Pointe d'Areu,Chamonix,45.8833,6.8167,1400,E,S3
Combe de Berard,Chamonix,45.9333,6.7833,1200,W,S3
Col de la Glière,Chamonix,45.9667,6.7500,1300,N,S3
Aiguille de Chamonix,Chamonix,45.9200,6.8583,1800,S,S4
Pointe de la Saxonnaye,Chamonix,45.9500,6.8417,1100,NE,S3
Col du Lac des Verts,Chamonix,45.8917,6.8917,900,SE,S2
Montagne de la Côte,Chamonix,45.9417,6.8167,1000,E,S2
Col de Tré la Tête,Chamonix,45.8167,6.8167,1500,S,S4
Aiguille de l'Index,Chamonix,45.9333,6.8667,700,N,S2
Pointe de Bellevue,Chamonix,45.9083,6.8333,1200,W,S3
Col du Brévent,Chamonix,45.9500,6.8667,800,S,S2
Dôme du Goûter,Chamonix,45.8333,6.7833,2200,N,S5
Col de la Vanoise,Vanoise,45.4130,6.7890,900,S,S2
Pointe de la Réchasse,Vanoise,45.3800,6.8200,1100,NE,S3
Grand Bec,Vanoise,45.4200,6.7600,1180,N,S3
Col de la Grande Casse,Vanoise,45.3900,6.7000,1200,S,S3
Dôme de Chasseforêt,Vanoise,45.4500,6.7800,1500,N,S4
Pointe du Dard,Vanoise,45.4100,6.7400,1400,E,S3
Col d'Aussois,Vanoise,45.3500,6.6800,1000,SE,S2
Col du Pelve,Vanoise,45.3700,6.7200,1300,N,S3
Méan Martin,Vanoise,45.4300,6.7500,1600,S,S4
Col de la Longe,Vanoise,45.4000,6.7900,900,SW,S2
Pointe de la Sana,Vanoise,45.3600,6.8100,1200,W,S3
Dôme des Nants,Vanoise,45.4700,6.7700,1100,NE,S3
Col de l'Encrenaz,Vanoise,45.3900,6.7300,800,E,S2
Pointe de l'Observatoire,Vanoise,45.4400,6.7400,1400,S,S3
Col du Bochor,Vanoise,45.3800,6.7500,1000,N,S2
Grande Motte,Vanoise,45.4200,6.7100,1800,SE,S4
Col de la Turche,Vanoise,45.4000,6.6900,900,W,S2
Pointe de la Galise,Vanoise,45.4500,6.7200,1300,E,S3
